City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,belyayevka,51.3974,56.4096,30.25,95,100,21.09,RU,1707062686
139,puerto baquerizo moreno,-0.9,-89.6,81.59,83,75,6.91,EC,1707062686
140,afaahiti,-17.75,-149.2833,78.06,89,100,11.7,PF,1707062686
141,saint croix,17.7397,-64.7388,83.95,58,0,10.36,VI,1707062686
142,tirana,41.3275,19.8189,52.68,66,0,9.22,AL,1707062587
143,sao jose da coroa grande,-8.8978,-35.1478,86.56,61,3,10.58,BR,1707062686
144,kayangel,8.0823,134.7173,81.73,83,28,21.07,PW,1707062686
145,charters towers,-20.1,146.2667,75.2,81,99,7.34,AU,1707062686
146,pleiku,13.9833,108.0,67.98,77,17,3.02,VN,1707062687
147,port elizabeth,-33.918,25.5701,77.09,90,20,17.27,ZA,1707062416
148,susuman,62.7833,148.1667,-20.02,99,100,3.0,RU,1707062687
149,fale old settlement,-9.3852,-171.2468,84.2,77,100,21.68,TK,1707062687
150,fort bragg,35.139,-79.006,49.44,53,0,10.36,US,1707062687
151,mar del plata,-38.0023,-57.5575,68.95,62,75,11.5,AR,1707062583
152,igarka,67.4667,86.5833,5.76,96,100,8.21,RU,1707062687
153,beidao,34.5686,105.8933,32.61,70,91,4.27,CN,1707062687
154,island harbour,50.724,-1.2758,57.27,91,94,10.0,GB,1707062687
155,rongelap,11.1635,166.8941,79.05,77,96,15.9,MH,1707062688
156,marsh harbour,26.5412,-77.0636,72.72,60,62,16.4,BS,1707062688
157,raja,8.4596,25.678,85.55,16,93,5.79,SS,1707062688
158,constantia,44.1833,28.65,45.7,77,72,11.21,RO,1707062666
159,albany,42.6001,-73.9662,33.8,71,11,1.99,US,1707062621
160,xinyuan,37.3,99.0,-1.41,67,19,4.97,CN,1707062688
161,gubkinskiy,64.434,76.5026,-10.55,100,80,5.53,RU,1707062688
162,belomorsk,64.5232,34.7668,15.98,95,100,8.52,RU,1707062688
163,tsengel,49.4783,100.8894,-0.31,93,19,6.44,MN,1707062688
164,nantucket,41.2835,-70.0995,33.94,55,20,25.32,US,1707062638
165,ocean city,39.2776,-74.5746,42.82,55,2,1.01,US,1707062689
166,al mijlad,11.0333,27.7333,84.38,12,51,12.17,SD,1707062689
167,chita,52.0333,113.55,-7.71,77,89,6.71,RU,1707062689
168,sao vicente,-23.9631,-46.3919,91.58,50,0,5.01,BR,1707062632
169,utica,43.1009,-75.2327,37.69,82,13,1.99,US,1707062480
170,puerto ayora,-0.7393,-90.3518,85.96,92,79,5.01,EC,1707062689
171,raciborz,50.0919,18.2193,49.71,98,100,16.67,PL,1707062689
172,zouerate,22.7187,-12.4521,78.22,7,99,16.64,MR,1707062689
173,kuyeda,56.4311,55.5886,7.75,99,98,7.49,RU,1707062690
174,kerikeri,-35.2268,173.9474,52.92,88,0,4.18,NZ,1707062690
175,al kharijah,25.4514,30.5464,57.78,24,0,9.37,EG,1707062690
176,bontang,0.1333,117.5,79.74,84,31,2.59,ID,1707062690
177,nabire,-3.3667,135.4833,77.56,92,100,3.0,ID,1707062690
178,colares,38.7992,-9.4469,66.97,69,0,8.01,PT,1707062690
179,palmer,42.1584,-72.3287,37.33,48,0,13.8,US,1707062690
180,emerald,-23.5333,148.1667,74.34,78,100,14.43,AU,1707062690
181,natal,-5.795,-35.2094,88.45,66,40,14.97,BR,1707062587
182,waddan,29.1614,16.139,60.67,35,20,10.56,LY,1707062691
183,myronivka,49.6601,30.9823,39.29,72,99,15.14,UA,1707062691
184,black point,-34.6187,137.8972,66.67,82,45,20.58,AU,1707062691
185,riviere-du-loup,47.8304,-69.5342,20.28,67,38,6.91,CA,1707062691
186,ndibene dahra,15.3338,-15.4766,94.98,6,76,6.51,SN,1707062691
187,west island,-12.1568,96.8225,82.38,83,75,5.75,CC,1707062691
188,badger,64.8,-147.5333,-22.65,67,0,0.0,US,1707062691
189,yarmouth,41.7057,-70.2286,34.27,64,20,23.0,US,1707062691
190,stephenville,32.2207,-98.2023,51.24,80,100,13.8,US,1707062448
191,fort stockton,30.894,-102.8793,55.76,27,0,20.71,US,1707062692
192,puerto aysen,-45.4,-72.7,56.26,89,100,1.43,CL,1707062692
193,pavlovo,55.9686,43.0912,27.64,91,100,17.69,RU,1707062692
194,kimje,35.8017,126.8889,44.49,92,100,7.61,KR,1707062692
195,hami,42.8,93.45,23.13,67,3,4.72,CN,1707062692
196,dodola,6.9833,39.1833,62.24,60,96,6.78,ET,1707062424
197,alva,56.1528,-3.8051,51.82,88,100,9.62,GB,1707062692
198,fortaleza,-3.7227,-38.5247,91.53,66,20,24.16,BR,1707062692
199,bredasdorp,-34.5322,20.0403,81.73,59,5,11.05,ZA,1707062693
200,talcahuano,-36.7167,-73.1167,71.28,56,0,6.91,CL,1707062411
201,tura,25.5198,90.2201,59.23,40,11,3.83,IN,1707062693
202,hermanus,-34.4187,19.2345,77.81,84,56,4.32,ZA,1707062693
203,hilo,19.7297,-155.09,65.12,93,100,6.91,US,1707062693
204,kill devil hills,36.0307,-75.676,46.42,68,0,12.66,US,1707062639
205,saint-philippe,-21.3585,55.7679,76.59,72,41,10.18,RE,1707062693
206,oroqen zizhiqi,50.5667,123.7167,-13.11,98,6,3.15,CN,1707062693
207,kargasok,59.0556,80.8572,11.97,95,100,10.0,RU,1707062465
208,tofol,5.3248,163.0078,81.72,81,84,23.11,FM,1707062694
209,yeppoon,-23.1333,150.7333,76.78,67,45,8.01,AU,1707062694
210,saint-leu,-21.15,55.2833,76.06,72,29,11.32,RE,1707062694
211,kalianget,-7.05,113.9333,77.02,93,100,17.45,ID,1707062694
212,amos,48.5669,-78.1162,28.67,94,100,1.63,CA,1707062694
213,al bawiti,28.3492,28.8659,56.64,40,1,8.7,EG,1707062694
214,tsiombe,-25.3,45.4833,76.26,85,95,5.26,MG,1707062694
215,st. john's,47.5649,-52.7093,35.15,96,100,16.11,CA,1707062694
216,codrington,-38.2667,141.9667,62.47,90,94,9.95,AU,1707062694
217,florence,43.7667,11.25,58.08,80,75,2.3,IT,1707062695
218,weno,7.4515,151.8468,82.35,89,100,12.66,FM,1707062695
219,nagqu,31.5,92.0,20.77,51,100,6.26,CN,1707062695
220,necochea,-38.5473,-58.7368,72.77,41,99,11.88,AR,1707062695
221,elverum,60.8819,11.5623,13.53,97,78,0.49,NO,1707062695
222,jiaojiang,28.6803,121.4428,48.0,94,92,1.59,CN,1707062695
223,la gi,10.6667,107.7833,75.24,94,64,8.3,VN,1707062695
224,port isabel,26.0734,-97.2086,73.44,51,0,4.61,US,1707062696
225,minas de marcona,-15.2119,-75.1103,74.35,67,81,7.09,PE,1707062696
226,zyrya,40.3661,50.2917,37.49,72,10,5.95,AZ,1707062696
227,petropavlovsk-kamchatsky,53.0452,158.6483,12.79,81,0,8.95,RU,1707062696
228,laojunmiao,39.8333,97.7333,20.48,51,5,1.59,CN,1707062696
229,cabo san lucas,22.8909,-109.9124,70.75,54,0,1.01,MX,1707062600
230,heihe,50.2441,127.4902,-1.62,97,11,2.82,CN,1707062696
231,holualoa,19.6228,-155.9522,65.79,80,40,8.05,US,1707062697
232,callao,-12.0667,-77.15,82.69,65,75,3.44,PE,1707062697
233,prince albert,53.2001,-105.7677,22.95,86,100,5.75,CA,1707062479
234,espera feliz,-20.6503,-41.9072,78.75,70,100,2.35,BR,1707062697
235,manacapuru,-3.2997,-60.6206,88.77,61,48,5.28,BR,1707062697
236,punta arenas,-53.15,-70.9167,57.31,82,75,6.91,CL,1707062546
237,saldanha,-33.0117,17.9442,78.85,77,16,9.6,ZA,1707062697
238,mejit,10.2753,170.8646,80.37,71,100,17.67,MH,1707062698
239,praia da vitoria,38.7333,-27.0667,66.45,77,40,15.97,PT,1707062698
240,puerto rosario,-24.45,-57.0833,105.89,21,9,3.62,PY,1707062698
241,eyl,7.9803,49.8164,77.9,71,81,18.05,SO,1707062698
242,hamilton,39.1834,-84.5333,47.19,64,20,5.99,US,1707062490
243,sitka,57.0531,-135.33,39.69,98,100,8.25,US,1707062698
244,tagiura,32.8817,13.3506,60.62,66,8,12.48,LY,1707062698
245,mendi,-6.1761,143.6513,55.96,97,80,2.82,PG,1707062698
246,smara,26.7384,-11.6719,77.36,8,71,17.31,EH,1707062698
247,yorkton,51.2167,-102.4677,33.64,93,100,3.44,CA,1707062699
248,akhaltsikhe,41.639,42.9826,29.34,96,100,1.86,GE,1707062699
249,calliope,-24.0,151.2,80.44,69,40,9.22,AU,1707062699
250,castillos,-34.1667,-53.8333,76.44,52,43,12.41,UY,1707062699
251,tulun,54.5611,100.5792,-8.79,100,87,4.16,RU,1707062699
252,vilyuchinsk,52.9306,158.4028,14.27,78,85,8.08,RU,1707062699
253,nong khae,14.3406,100.8673,83.03,66,40,5.97,TH,1707062699
254,sandpoint,48.2766,-116.5533,35.73,98,100,0.0,US,1707062699
255,nago,26.5881,127.9761,73.83,91,100,12.68,JP,1707062699
256,suomussalmi,64.8869,28.9078,21.24,94,100,11.88,FI,1707062700
257,akjoujt,19.6969,-14.4164,86.68,5,100,13.31,MR,1707062700
258,flying fish cove,-10.4217,105.6791,76.68,100,75,0.0,CX,1707062700
259,lucas,41.6501,-83.6666,37.36,85,0,8.05,US,1707062700
260,marechal floriano,-20.4128,-40.6831,80.85,55,94,6.22,BR,1707062700
